City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,saipan,15.1355,145.701,79.5,94,75,19.57,MP,1703958384
126,iskushuban,10.2837,50.23,70.72,79,97,13.2,SO,1703958384
127,fort mcmurray,56.7268,-111.381,18.99,86,0,5.75,CA,1703958385
128,west island,-12.1568,96.8225,80.58,83,97,11.5,CC,1703958386
129,villa regina,-39.1,-67.0667,95.99,15,7,5.99,AR,1703958386
130,neon karlovasion,37.7903,26.7044,63.91,77,100,7.83,GR,1703958387
131,tromso,69.6496,18.957,21.22,53,0,13.8,NO,1703958387
132,punta arenas,-53.15,-70.9167,60.91,33,0,25.32,CL,1703958385
133,oruro,-17.9833,-67.15,51.46,64,100,5.5,BO,1703958388
134,glace bay,46.1969,-59.957,35.78,92,100,3.44,CA,1703958389
135,iqaluit,63.7506,-68.5145,22.73,85,75,11.5,CA,1703958390
136,papatowai,-46.5619,169.4708,51.94,93,100,5.7,NZ,1703958390
137,utrik,11.2278,169.8474,80.91,80,93,17.58,MH,1703958391
138,quellon,-43.1167,-73.6167,63.91,59,100,10.56,CL,1703958392
139,mejit,10.2753,170.8646,80.74,83,100,17.02,MH,1703958392
140,horta,38.5333,-28.6333,63.01,64,40,5.01,PT,1703958393
141,lihue,21.9789,-159.3672,65.79,82,20,9.22,US,1703958393
142,ust-nera,64.5667,143.2,-50.78,99,73,3.2,RU,1703958394
143,sovetskiy,61.3614,63.5842,1.89,91,100,8.99,RU,1703958394
144,illizi,26.4833,8.4667,67.8,22,4,7.85,DZ,1703958395
145,sitka,57.0531,-135.33,42.69,81,100,19.57,US,1703958396
146,talcahuano,-36.7167,-73.1167,67.68,60,40,13.8,CL,1703958396
147,la ronge,55.1001,-105.2842,14.25,85,75,3.44,CA,1703958397
148,jamestown,42.097,-79.2353,33.53,91,100,10.36,US,1703958398
149,teknaf,20.8624,92.3058,66.4,85,3,5.66,BD,1703958398
150,bathsheba,13.2167,-59.5167,84.81,70,40,13.8,BB,1703958399
